April	thang Tu
disappoint	khong lam thoa uoc nguyen, y mong doi; that uoc,lam that bai
disappointed	that vong
disappointing	lam chan ngan, lam that vong
disappointment	su chan ngan, su that vong
disapproval	su phan doi, su khong tan thanh
disapprove of	khong tan thanh, phan doi, che
disapproving	phan doi
disaster	tai hoa, tham hoa
discipline	ky luat
discount	su bot gia, su chiet khau, tien bot, chiet khau
discover	kham pha, phat hien ra, nhan ra
discovery	su kham pha, su tim ra, su phat hien ra
discuss	thao luan, tranh luan
discussion	su thao luan, su tranh luan
disease	can benh, benh tat
disgust	lam ghe tom, lam kinh tom, lam phan no
disgusted	chan ghet, phan no
disgusting	lam ghe tom, kinh tom
dish	dia (dung thuc an)
dishonest	bat luong, khong thanh that
dishonestly	bat luong, khong luong thien
disk	dia, dia hat
dislike	su khong ua, khong thich, su ghet
dismiss	giai tan (quan doi, dam dong); sa thai (nguoi lam)
display	bay to, pho truong, trung bay; su bay ra, pho bay,trung bay
dissolve	tan ra, phan huy, giai tan
dissolve	tan ra, phan huy, giai tan
distance	khoang cach, tam xa
distinguish	phan biet, nhan ra, nghe ra
distribute	phan bo, phan phoi, sap xep, phan loai
distribution	su phan bo, su phan phoi, phan phat, su sap xep
district	huyen, quan
disturb	lam mat yen tinh, lam nao dong, quay ray
disturbing	xao tron
divide	chia, chia ra, phan ra
division	su chia, su phan chia, su phan loai
divorce	su ly di
divorced	da ly di
doctor	bac si y khoa, tien si
document	van kien, tai lieu, tu lieu
dollar	do la My
domestic	vat nuoi trong nha, (thuoc) noi tro, quoc noi
domestic	vat nuoi trong nha, (thuoc) noi tro, quoc noi
dominate	chiem uu the, co anh huong, chi phoi; kiem che
door	cua, cua ra vao
dot	cham nho, diem; cua hoi mon
double	doi, hai, kep; cai gap doi, luong gap doi; lam gap doi
doubt	su nghi ngo, su ngo vuc; nghi ngo, ngo vuc
down	xuong
downstairs	o duoi nha, o tang duoi; xuong gac, tang duoi
downward	xuong, di xuong
downwards	xuong, di xuong
dozen	ta (12)
draft	ban phac thao, so do thiet ke; phac thao, thiet ke
drag	loi keo, keo le
drama	kich, tuong
dramatic	nhu kich, nhu dong kich, thich hop voi san khau
dramatically	dot ngot
draw	ve, keo
drawer	nguoi ve, nguoi keo
drawing	ban ve, buc ve, su keo
dream	giac mo, mo
dress	vay, quan ao, mac (quan ao), an mac
dressed	cach an mac
drink	do uong; uong
drive	lai , dua xe; cuoc dua xe (dieu khien)
driver	nguoi lai xe
driving	su lai xe, cuoc dua xe
drop	chay nho giot, roi, rot; giot (nuoc, mau...)
drug	thuoc, duoc pham; ma tuy
drugstore	hieu thuoc, cua hang duoc pham
drum	cai trong, tieng trong
drunk	say ruou
dry	kho, can; lam kho, say kho
due	den ky han (tra no); xung dang, thich dang
due to	vi, do, tai, nho co
dull	cham hieu, ngu dan
dump	do rac; dong rac, noi do rac
during	trong luc, trong thoi gian
dust	bui, rac; rac (bui, phan), quet bui, phui bui
duty	su ton kinh, kinh trong; bon phan, trach nhiem
dying	su chet
each	moi
each other	nhau, lan nhau
each other	nhau, lan nhau
ear	tai
early	som
earn	kiem (tien), gianh (phan thuong)
earth	dat, trai dat
ease	su thanh than, su thoai mai; lam thanh than, lam yen tam
easily	de dang
east	huong dong, phia dong, (thuoc) dong, o phia dong
eastern	dong
easy	de dang, de tinh, ung dung
eat	an
economic	Kinh te
economy	su tiet kiem, su quan ly kinh te
edge	luoi, canh sac (dao)
edition	nha xuat ban, su xuat ban
editor	nguoi thu thap va xuat ban, chu but
educate	giao duc, cho an hoc; ren luyen
educated	duoc giao duc, duoc dao tao
education	su giao duc, su ren luyen (ky nang)
effect	hieu ung, hieu qua, ket qua
effective	co ket qua, co hieu luc
effectively	co ket qua, co hieu luc
efficient	co hieu luc, co hieu qua
efficiently	co hieu qua, hieu nghiem
effort	su co gang, su no luc
egg	trung
either	moi, mot; cung phai the
elbow	khuyu tay
elderly	co tuoi, cao tuoi
elect	bau, quyet dinh
election	su bau cu, cuoc tuyen cu
electric	dien, co dien, phat dien
electrical	dien
electricity	dien, dien luc; dien luc hoc
electronic	dien tu
elegant	thanh lich, tao nha
element	yeu to, nguyen to
elevator	may nang, thang may
else	khac, nua; neu khong
elsewhere	o mot noi nao khac
embarrass	lung tung, lam nguong nghiu; lam rac roi, gay kho khan
embarrassed	lung tung, boi roi, nguong; mang no
embarrassing	lam lung tung, ngan tro
embarrassment	su lung tung, su boi roi
emerge	noi len, hien ra; noi bat len
emergency	tinh trang khan cap
emotion	su xuc dong, su cam dong, moi xuc cam
emotional	cam dong, xuc dong, xuc cam; de cam dong, de xuc cam
emotionally	xuc dong
emphasis	su nhan manh, tam quan trong
emphasize	nhan manh, lam noi bat
empire	de che, de quoc
employ	dung, thue ai lam gi
employee	nguoi lao dong, nguoi lam cong
employer	chu, nguoi su dung lao dong
employment	su thue muon
employment	su thue muon
empty	trong, rong; do, doc; uong, lam can
enable	lam cho co the, co kha nang; cho phep ai lam gi
encounter	cham chan, bat gap; su cham tran, su bat gap
encourage	dong vien, ung ho, giup do, lam can dam, manh dan
encouragement	niem co vu, dong vien, khuyen khich, su lam can dam
end	gioi han, su ket thuc; ket thuc, cham dut
ending	su ket thuc, su cham dut; phan cuoi, ket cuc
enemy	ke thu, quan dich
energy	nang luong, nghi luc, sinh luc
engage	hua hen, cam ket, dinh uoc
engaged	da dinh uoc, da hua hon
engine	may, dong co
engineer	ky su
engineering	nghe ky su, cong viec cua ky su
enjoy	thuong thuc, thich thu cai gi, duoc huong, co duoc
enjoyable	thu vi, thich thu
enjoyment	su thich thu, su co duoc, duoc huong
enormous	to lon, khong lo
enough	du
enquiry	su dieu tra, su tham van
ensure	bao dam, chac chan
enter	di vao, gia nhap
entertain	giai tri, tiep don, chieu dai
entertainer	nguoi quan tro, nguoi tiep dai, chieu dai
entertaining	giai tri
entertainment	su giai tri, su tiep dai, chieu dai
enthusiasm	su hang hai, su nhiet tinh
enthusiastic	hang hai, say me, nhiet tinh
entire	toan the, toan bo
entirely	toan ven, tron ven, toan bo
entitle	cho tieu de, cho ten (sach); cho quyen lam gi
entrance	su di vao, su nham chuc
entry	su ghi vao so sach, su di vao, su tiep nhan (phap ly)
envelope	phong bi
environment	moi truong, hoan canh xung quanh
environmental	thuoc ve moi truong
equal	ngang, bang; nguoi ngang hang, ngang tai,suc
equally	bang nhau, ngang bang
equipment	trang, thiet bi
equivalent	tuong duong; tu, vat tuong duong
error	loi, su sai sot, sai lam
escape	tron thoat, thoat khoi; su tron thoat, loi thoat
especially	dac biet la, nhat la
essay	bai tieu luan
essential	ban chat, thuc chat, cot yeu; yeu to can thiet
essentially	ve ban chat, ve co ban
establish	lap, thanh lap
estate	tai san, di san, bat dong san
estimate	su uoc luong, danh gia; uoc luong, danh gia
even	ngay ca, ngay, lai con; bang phang, diem dam,ngang bang
evening	buoi chieu, toi
event	su viec, su kien
eventually	cuoi cung
ever	tung, tu truoc toi gio
every	moi, moi
evidence	dieu hien nhien, dieu ro rang
evil	xau, ac; dieu xau, dieu ac, dieu tai hai
exact	chinh xac, dung
exactly	chinh xac, dung dan
exaggerate	cuong dieu, phong dai
exaggerated	cuong dieu, phong dai
exam	viet tat cua Examination
examination	su thi cu, ky thi
examine	tham tra, kham xet, hoi han (thi sinh)
example	thi du, vi du
excellent	xuat sac, xuat chung
except	tru ra, khong ke; tru phi
exception	su tru ra, su loai ra
exchange	trao doi; su trao doi
excite	kich thich, kich dong
excitement	su kich thich, su kich dong
exciting	hung thu, thu vi
exclude	ngan chan, loai tru
excluding	ngoai ra, tru ra
excuse	loi xin loi, bao chua; xin loi, tha thu, tha loi
executive	su thi hanh, chap hanh; (thuoc) su thi hanh,chap hanh
exercise	bai tap, su thi hanh, su thuc hien; lam, thi hanh, thuc hien
exhibit	trung bay, trien lam; vat trung bay, vat trien lam
exhibition	cuoc trien lam, trung bay
exist	ton tai, song
existence	su ton tai, su song
exit	loi ra, su di ra, thoat ra
expand	mo rong, phat trien, no, gian ra
expect	cho doi, mong ngong; lieu truoc
expectation	su mong cho, su cho doi
expected	duoc cho doi, duoc hy vong
expense	chi phi
expensive	dat
experience	kinh nghiem; trai qua, nem mui
experienced	co kinh nghiem, tung trai, giau kinh nghiem
experiment	cuoc thi nghiem, thi nghiem
expert	chuyen gia; chuyen mon, thanh thao
explain	giai nghia, giai thich
explanation	su giai nghia, giai thich
explode	dap tan (hy vong...), lam no, no
explore	tham do, tham hiem
explosion	su no, su phat trien o at
export	xuat khau; hang xuat khau, su xuat khau
expose	trung bay, phoi bay
express	dien ta, bieu lo, bay to; nhanh, toc hanh
expression	su dien ta, su bay to, bieu lo, su dien dat
extend	gio, duoi ra (tay, chan); keo dai (thoi gian),danh cho, gui loi
extension	su gio, duoi; su keo dai, su danh cho, gui loi
extensive	rong rai, bao quat
extent	quy mo, pham vi
extra	them, phu, ngoai; thu them, phu
extraordinary	dac biet, la thuong, khac thuong
extreme	vo cung, khac nghiet, qua khich, cuc doan; su qua khich
extremely	vo cung, cuc do
face	mat, the dien; duong dau, doi pho, doi mat
facility	dieu kien de dang, su de dang, thuan loi
fact	viec, su viec, su kien
factor	nhan to
factory	nha may, xi nghiep, xuong
fail	sai, that bai
failure	su that bai, nguoi that bai
faint	nhut nhat, yeu ot
faintly	nhut nhat, yeu ot
fair	hop ly, cong bang; thuan loi
fairly	hop ly, cong bang
faith	su tin tuong, tin cay; niem tin, vat dam bao
faithful	trung thanh, chung thuy, trung thuc
faithfully	trung thanh, chung thuy, trung thuc
fall	roi, nga, su roi, nga
fall asleep	ngu thiep di
fall over	nga lon nhao, bi do
false	sai, nham, gia doi
fame	ten tuoi, danh tieng
familiar	than thiet, quen thuoc
family	gia dinh, thuoc gia dinh
famous	noi tieng
fancy	tuong tuong, cho, nghi rang; tuong tuong
far	xa
farm	trang trai
farmer	nong dan, nguoi chu trai
farming	cong viec trong trot, dong ang
fashion	mot, thoi trang
fashionable	dung mot, hop thoi trang
fast	nhanh
fasten	buoc, troi
fat	beo, beo bo; mo, chat beo
faucet	voi (o thung ruou....)
fault	su thiet sot, sai sot
favour	thien y, su quy men; su dong y; su chieu co
favourite	duoc ua thich; nguoi (vat) duoc ua thich
fear	su so hai, e so; so, lo ngai
feather	long chim
feature	net dat biet, diem dac trung; mo ta net dac biet,dac trung cua...
federal	lien bang
fee	tien thu lao, hoc phi
feed	cho an, nuoi
feel	cam thay
feel sick	buon non
feeling	su cam thay, cam giac
fellow	anh chang (dang yeu), dong chi
female	thuoc giong cai; giong cai
fence	hang rao
festival	le hoi, dai hoi lien hoan
fetch	tim ve, dem ve; lam buc minh; lam say me, quyen ru
fever	con sot, benh sot
few	it,vai; mot it, mot vai
field	canh dong, bai chien truong
fight	dau tranh, chien dau; su dau tranh, cuoc chien dau
fighting	su chien dau, su dau tranh
figure	hinh dang, nhan vat; hinh dung, mieu ta
file	ho so, tai lieu
fill	lam day, lap kin
film	phim, duoc dung thanh phim
final	cuoi cung, cuoc dau chung ket
finally	cuoi cung, sau cung
finance	tai chinh; tai tro, cap von
financial	thuoc (tai chinh)
find	tim, tim thay
find out sth	kham pha, tim ra
fine	tot, gioi
finely	dep de, te nhi, cao thuong
finger	ngon tay
finish	ket thuc, hoan thanh; su ket thuc, phan cuoi
finished	hoan tat, hoan thanh
fire	lua; dot chay
firm	hang, cong ty; chac, kien quyet, vung vang
firmly	vung chac, kien quyet
first	thu nhat, dau tien, truoc het; nguoi, vat dau tien, thu nhat
fish	ca, mon ca; cau ca, bat ca
fishing	su cau ca, su danh ca
fit	hop, vua; thich hop, xung dang
fix	dong, gan, lap; sua chua, sua sang
fixed	dung yen, bat dong
flag	quoc ky
flame	ngon lua
flash	loe sang, vut sang; anh sang loe len, den nhay
flat	bang phang, bet, nhan; day phong, can phong, mat phang
flavour	vi, mui; cho gia vi, lam tang them mui vi
flesh	thit
flight	su bo chay, rut chay; su bay, chuyen bay
float	noi, troi, lo lung
flood	lut, lu lut; tran day, tran ngap
floor	san, tang (nha)
flour	bot, bot my
flow	su chay; chay
flu	benh cum
fly	bay; su bay, quang duong bay
flying	biet bay; su bay, chuyen bay
focus	tap trung; trung tam, trong tam
fold	gap, ven, xan; nep gap
folding	gap lai duoc
follow	di theo sau, theo, tiep theo
following	tiep theo, theo sau, sau day; sau, tiep theo
foot	chan, ban chan
football	bong da
for	cho, danh cho...
for instance	vi du chang han
force	suc manh; ep buoc, cuong ep
forecast	su du doan, du bao; du doan, du bao
foreign	nuoc ngoai, tu nuoc ngoai, o nuoc ngoai
forest	rung
forever	mai mai
forget	quen
forgive	tha, tha thu
fork	cai nia
form	hinh the, hinh dang, hinh thuc; lam thanh, duoc tao thanh
formal	trang trong,theo nghi thuc
formalize	nghi thuc hoa,trang trong hoa
former	truoc, cu, xua, nguyen
formerly	truoc day, thuo xua
formula	cong thuc, the thuc, cach thuc
fortune	su giau co, su thinh vuong
forward	ve tuong lai, sau nay o phia truoc,tien ve phia truoc
foundation	su thanh lap, su sang lap; to chuc
frame	cau truc, he thong; dan xep, bo tri
free	mien phi, tu do, giai phong, tra tu do
freedom	su tu do; nen tu do
freely	tu do, thoai mai
freeze	dong bang, dong lanh
freeze	su dong lanh, su gia lanh; lam dong, lam dong bang
frequent	thuong xuyen
frequently	thuong xuyen
fresh	tuoi, tuoi tan
freshly	tuoi mat, khoe khoan
fridge	tu lanh
friendly	than thien, than mat
friendship	tinh ban, tinh huu nghi
frighten	lam so, lam hoang so
frightened	hoang so, khiep so
frightening	kinh khung, khung khiep
front	mat; dang truoc, ve phia truoc
frozen	lanh gia
fruit	qua, trai cay
fry	ran, chien; thit ran
fuel	chat dot, nhien lieu
full	day, day du
fully	day du, hoan toan
fun	su vui dua, su vui thich; hai huoc
function	chuc nang; hoat dong, chay (may)
fund	kho, quy; tai tro, tien bac, de tien vao cong quy
fundamental	co ban, co so, chu yeu
funeral	le tang, dam tang
funny	buon cuoi, khoi hai
fur	bo da long thu
furniture	do dac (trong nha)
further	xa hon nua; them nua
further	xa hon nua, them nua, ben kia
furthest	xa hon het, xa nhat
future	tuong lai
gain	loi, loi ich; gianh duoc, kiem duoc, dat toi
gallon	Galong 1gl = 4, 54 lit o Anh, 3, 78 lit o My
gamble	danh bac; cuoc danh bac
gambling	tro co bac
gap	deo, lo hong, ke ho; cho trong
garage	nha de o to
garbage	long, ruot (thu)
garden	vuon
gas	khi, hoi dot
gasoline	dau lua, dau hoa, xang
gate	cong
gather	tap hop; hai, luom, thu thap
gear	co cau, thiet bi, dung cu
general	chung, chung chung; tong
generally	noi chung, dai the
generate	sinh, de ra
generation	su sinh ra, su phat sinh ra; the he, doi
generous	rong luong, khoan hong, hao phong
generously	rong luong, hao phong
gentle	hien lanh, diu dang, nhe nhang
gentleman	nguoi quy phai, nguoi thuong luu
gently	nhe nhang, em ai, diu dang
genuine	thanh that, chan that; xac thuc
genuinely	thanh that, chan that
geography	dia ly, khoa dia ly
get	duoc, co duoc
get off	ra khoi, thoat khoi, xuong ( xe buyt,xe lua,...)
get on	leo, treo len (xe buyt, xe lua,..)
get rid of	tong khu
giant	nguoi khong lo, nguoi phi thuong; khong lo, phi thuong
gift	qua tang
give	cho, bieu, tang
give birth	sinh ra
give sth away	cho, phat
give sth out	chia, phan phoi
give sth up	bo, tu bo
glad	vui long, sung suong
glass	kinh, thuy tinh, cai coc, ly
glasses	kinh deo mat
global	toan cau, toan the, toan bo
glove	bao tay, gang tay
glue	keo, ho; gan lai, dan bang keo, ho
go bad	ban thiu, thoi, hong
go down	di xuong
go up	di len
goal	khung thanh, ban thang, dich, muc dich
gold	vang; bang vang
good	tot, hay, tuyet; dieu tot, dieu thien
good at	tien bo o
good for	co loi cho
goods	cua cai, tai san, hang hoa
govern	cai tri, thong tri, cam quyen
government	chinh phu, noi cac; su cai tri
governor	thu linh, chu; ke thong tri
grab	tum lay, vo, chop lay
grade	diem, diem so; phan loai, xep loai
gradual	dan dan, tung buoc mot
gradually	dan dan, tu tu
grain	thoc lua, hat, hot; tinh chat, ban chat
gram	dau xanh
grammar	ngu phap, van pham
grand	rong lon, vi dai
grandchild	chau (cua ong ba)
granddaughter	chau gai
grandson	chau trai
grant	cho, ban, cap; su cho, su ban, su cap
grass	co; bai co, dong co
grateful	biet on, de chiu, khoan khoai
grave	mo, dau huyen; trang nghiem, nghiem trong
gray	xam, hoa ram (toc)
great	to, lon, vi dai
greatly	rat, lam; cao thuong, cao ca
grey	xam, hoa ram (toc),xam xit
grocery	cua hang tap pham
ground	mat dat, dat, bai dat
group	nhom
grow	moc, moc len
grow up	lon len, truong thanh
growth	su lon len, su phat trien
guarantee	su bao hanh, bao lanh, nguoi bao lanh; cam doan, dam bao
guard	cai chan, nguoi bao ve; bao ve, gac, canh giu
guess	doan, phong doan; su doan, su uoc chung
guest	khach, khach moi
guide	dieu chi dan, nguoi huong dan; dan duong, chi duong
guilty	co toi, pham toi, toi loi
gun	sung
guy	bu nhin, anh chang, ga
habit	thoi quen, tap quan
hairdresser	tho lam toc
half	mot nua, phan chia doi, nua gio; nua
hall	dai sanh, toa (thi chinh), hoi truong
hammer	bua
hand	tay, ban tay; trao tay, truyen cho
handle	cam, so mo; tay cam, moc quai
hang	treo, mac
happen	xay ra, xay den
happily	sung suong, hanh phuc
happiness	su sung suong, hanh phuc
hard	cung, ran, ha khac; het suc co gang, tich cuc
hardly	khac nghiet, nghiem khac, tan te, kho khan
harm	thiet hai, ton hao; lam hai, gay thiet hai
harmful	gay tai hai, co hai
harmless	khong co hai
hate	ghet; long cam ghet, thu han
hatred	long cam thi, su cam ghet
head	cai dau (nguoi, thu); chi huy, lanh dai, dan dau
headache	chung nhuc dau
heal	chua khoi, lam lanh
health	suc khoe, the chat, su lanh manh
healthy	khoe manh, lanh manh
hear	nghe
hearing	su nghe, thinh giac
heart	tim, trai tim
heat	hoi nong, suc nong
heating	su dot nong, su lam nong
heaven	thien duong
heavily	nang, nang ne
heavy	nang, nang ne
heel	got chan
height	chieu cao, do cao; dinh, diem cao
helpful	co ich; giup do
hence	sau day, ke tu day; do do, vi the
hesitate	ngap ngung, do du
hide	tron, an nap; che giau
high	cao, o muc do cao
highlight	lam noi bat, neu bat; cho noi bat nhat, dep, sang nhat
highly	tot, cao; het suc, o muc do cao
highway	duong quoc lo
hill	doi
hip	hong
hire	thue, cho thue (nha...); su thue, su cho thue
historical	lich su, thuoc lich su
history	lich su, su hoc
hit	danh, dam, nem trung; don, cu dam
hobby	so thich rieng
hold	cam, nam, giu; su cam, su nam giu
hole	lo, lo trong; hang
hollow	rong, trong rong
holy	linh thieng; sung dao
honest	luong thien, trung thuc, chan that
honestly	luong thien, trung thuc, chan that
honour	danh du, thanh danh, long kinh trong
hook	cai moc; ban le; luoi cau
horizontal	chan troi, o chan troi; ngang, nam ngang (truc hoanh)
horn	sung (trau, bo...)
horror	dieu kinh khung, su ghe ron
horse	ngua
hospital	benh vien, nha thuong
host	chu nha, chu tiec; dan (c.trinh), dang cai to chuc (hoi nghi)
household	ho, gia dinh; (thuoc) gia dinh
housing	noi an chon o
huge	to lon, khong lo
human	con nguoi, loai nguoi
humorous	hai huoc, hom hinh
humour	su hai huoc, su hom hinh
hungry	doi
hunt	san, di san
hunting	su di san
hurry	su voi vang, su gap rut
husband	nguoi chong
ice	bang, nuoc da
idea	y tuong, quan niem
ideal	quan niem, tu tuong; ly tuong
ideally	ly tuong, dung nhu ly tuong
identify	nhan biet, nhan ra, nhan dang
identity	ca tinh, net nhan dang; tinh dong nhat, giong het
ignore	phot lo, to ra khong biet den
ill	om
illegal	trai luat, bat hop phap
illegally	trai luat, bat hop phap
illness	su dau yeu, om, benh tat
illustrate	minh hoa, lam ro y
image	anh, hinh anh
imaginary	tuong tuong, ao
imagination	tri tuong tuong, su tuong tuong
imagine	tuong tuong, hinh dung; tuong rang, cho rang
immediate	lap tuc, tuc thi
immediately	ngay lap tuc
immoral	trai dao duc, luan ly; xau xa
impact	su va cham, su tac dong, anh huong
impatient	thieu kien nhan, nong voi
impatiently	nong long, sot ruot
implication	su loi keo, su lien can, dieu goi y
imply	ngu y, bao ham
import	su nhap, su nhap khau; nhap, nhap khau
importance	su quan trong, tam quan trong
important	quan trong, he trong
importantly	quan trong, trong yeu
impose	danh (thue...), bat ganh vac; danh trao, loi dung
impossible	khong the lam duoc, khong the xay ra
impress	ghi, khac, in sau vao; gay an tuong, lam cam dong
impressed	duoc ghi, khac, in sau vao
impression	an tuong, cam giac; su in, dong dau
impressive	gay an tuong manh; hung vi, oai ve
improve	cai thien, cai tien, mo mang
improvement	su cai thien, su cai tien, su mo mang
in a hurry	voi vang, hoi ha, gap rut
in case of	neu...
in charge of	phu trach
in common	su chung, cua chung
in control of	trong su dieu khien cua...
in detail	tuong tan, ty mi
in exchange for	trong viec trao doi ve
in favour of	ung ho cai gi
in front of	o phia truoc
in general	noi chung, dai khai
in honour of	de to long ton kinh, tran trong doi voi
in memory of	su tuong nho
in public	giua cong chung, cong khai
in spite of	mac du, bat chap
in the end	cuoi cung, ve sau
inability	su bat luc, bat tai
incident	viec xay ra, viec co lien quan
include	bao gom, tinh ca
including	bao gom, ke ca
income	loi tuc, thu nhap
increase	tang, tang them; su tang, su tang them
increasingly	tang them
indeed	that vay, qua that
independence	su doc lap, nen doc lap
independent	doc lap
independently	doc lap
index	chi so, su bieu thi
indicate	chi, cho biet; bieu thi, trinh bay ngan gon
indication	su chi, su bieu thi, su bieu lo
indirect	gian tiep
indirectly	gian tiep
individual	rieng, rieng biet; ca nhan
indoor	trong nha
indoors	o trong nha
industrial	cong nghiep, ky nghe
industry	cong nghiep, ky nghe
inevitable	khong the tranh duoc, chac chan xay ra; van thuong thay,nghe
inevitably	chac chan
infect	nhiem, tiem nhiem, dau doc, lan truyen
infected	bi nhiem, bi dau doc
infection	su nhiem, su dau doc
infectious	lay, nhiem
influence	su anh huong, su tac dung; anh huong, tac dong
inform	bao cho biet, cung cap tin tuc
informal	khong chinh thuc, khong nghi thuc
information	tin tuc, tai lieu, kien thuc
ingredient	phan hop thanh, thanh phan
initial	ban dau, luc dau; chu dau (cua 1 ten goi)
initially	vao luc ban dau, ban d
initiative	buoc dau, su khoi dau
injure	lam ton thuong, lam hai, xuc pham
injured	bi ton thuong, bi xuc pham
injury	su lam ton thuong, lam hai; dieu hai, dieu ton hai
ink	muc
inner	o trong, noi bo; than can
innocent	vo toi, trong trang, ngay tho
insect	sau bo, con trung
insert	chen vao, long vao
inside	mat trong, phia, phan trong; o trong, noi bo
insist on	cu nhat dinh, cu khang khang
install	dat (he thong may moc, thiet bi...)
instance	thi di, vi du; truong hop ca biet
instead	de thay the
instead of	thay cho
institute	vien, hoc vien
institution	su thanh lap, lap; co quan, tru so
instruction	su day, tai lieu cung cap
instrument	dung cu am nhac khi
insult	lang ma, xi nhuc; loi lang ma, su xi nhuc
insulting	lang ma, xi nhuc
insurance	su bao hiem
intelligence	su hieu biet, tri thong minh
intelligent	thong minh, sang tri
intend	y dinh, co y dinh
intended	co y dinh, co dung y
intention	y dinh, muc dich
interest	su thich thu, su quan tam, chu y; lam quan tam, chu y
interested	co thich thu, co quan tam, co chu y
interesting	lam thich thu, lam quan tam, lam chu y
interior	phan trong, phia trong; o trong, o phia trong
internal	o trong, ben trong, noi dia
international	quoc te
interpret	giai thich
interpretation	su giai thich
interrupt	lam gian doan, ngat loi
interruption	su gian doan, su ngat loi
interval	khoang (k-t.gian), khoang cach
interview	cuoc phong van, su gap mat; phong van, noi chuyen rieng
into	vao, vao trong
introduce	gioi thieu
introduction	su gioi thieu, loi gioi thieu
invent	phat minh, sang che
invention	su phat minh, su sang che
invest	dau tu
investigate	dieu tra, nghien cuu
investigation	su dieu tra, nghien cuu
investment	su dau tu, von dau tu
invitation	loi moi, su moi
invite	moi
involve	bao gom, bao ham; thu hut, don tam tri
involved	in de het tam tri vao
involvement	su gom, su bao ham; su de, don het tam tri vao
iron	sat; boc sat
irritate	lam phat cau, choc tuc
irritated	tuc gian, cau tiet
irritating	lam phat cau, choc tuc
island	hon dao
issue	su phat ra, su phat sinh; phat hanh, dua ra
item	tin tuc; khoa(n)., mo(n).., tiet muc
jacket	ao vet
jam	mut
jealous	ghen, ghen ti
jelly	thach
jewellery	nu trang, kim hoan
join	gia nhap, tham gia; noi, chap, ghep
joint	chung (giua 2 nguoi hoac hon); cho noi, dau noi
jointly	cung nhau, cung chung
joke	tro cuoi, loi noi dua; noi dua, gieu cot
journalist	nha bao
journey	cuoc hanh trinh (duong bo); quang duong, chang duong di
joy	niem vui, su vui mung
judge	xet xu, phan xu; quan toa, tham phan
juice	nuoc ep (rau, cu, qua)
jump	nhay; su nhay, buoc nhay
junior	tre hon, it tuoi hon; nguoi it tuoi hon
just	dung, vua du; vua moi, chi
justice	su cong bang
justified	hop ly, duoc chung minh la dung
justify	bao chua, bien ho
keen	sac, ben
keen on	say me, ua thich
keep	giu, giu lai
keyboard	ban phim
kick	da; cu da
kid	con de non,dua tre con
killing	su giet choc, su tan sat
kilometre	Kilomet
kind	loai, giong; tu te, co long tot
kindly	tu te, tot bung
kindness	su tu te, long tot
king	vua, quoc vuong
knee	dau goi
knife	con dao
knit	dan, theu
knitted	duoc dan, duoc theu
knitting	viec dan; hang det kim
knock	danh, dap; cu danh
knot	cai no; diem nut, diem trung tam
knowledge	su hieu biet, tri thuc
label	nhan, mac; dan nhan, ghi mac
laboratory	phong thi nghiem
labour	lao dong; cong viec
lack	su thieu; thieu
lacking	ngu dan, ngay ngo
lady	nguoi yeu, vo, quy ba, tieu thu
lake	ho
lamp	den
land	dat, dat canh tac, dat dai
landscape	phong canh
lane	duong nho (lang, hem pho)
language	ngon ngu
large	rong, lon, to
largely	phong phu, o muc do lon
last	lam cuoi, sau cung; nguoi cuoi cung
late	tre, muon
later	cham hon
latest	muon nhat, cham nhat, gan day nhat
latter	sau cung, gan day, moi day
laugh	cuoi; tieng cuoi
launch	ha thuy (tau); khai truong; su ha thuy, buoi gioi thieu san pham
law	luat
lawyer	luat su
lay	xep, dat, bo tri
layer	lop
lazy	luoi bieng
lead	lanh dao, dan dat; su lanh dao, su huong dan
leader	nguoi lanh dao, lanh tu
leading	lanh dao, dan dau
leaf	la cay, la (vang...)
league	lien minh, lien hoan
lean	nghieng, dua, y vao
learn	hoc, nghien cuu
least	toi thieu; it nhat
leather	da thuoc
leather	bo di, roi di, de lai
leave out	bo quen, bo sot
lecture	bai dien thuyet, bai thuyet trinh, bai noi chuyen
left	ben trai; ve phia trai
leg	chan (nguoi, thu, ban..)
legal	hop phap
legally	hop phap
lend	cho vay, cho muon
length	chieu dai, do dai
less	nho be, it hon; so luong it hon
lesson	bai hoc
let	cho phep, de cho
letter	thu; chu cai, mau tu
level	trinh do, cap, vi tri; bang, ngang bang
library	thu vien
licence	bang, chung chi, bang cu nhan;su cho phep
license	cap chung chi, cap bang, cho phep
lid	nap, vung (xoong, noi..); mi mat (eyelid)
lie	noi doi; loi noi doi, su doi tra
life	doi, su song
lift	gio len, nhac len; su nang, su nhac len
light	anh sang; nhe, nhe nhang; dot, thap sang
lightly	nhe nhang
likely	co the dung, co the xay ra, co kha nang; co the,chac vay
limit	gioi han, ranh gioi; gioi han, han che
limited	han che, co gioi han
line	day, duong, tuyen
link	mat xich, moi lien lac; lien ket, ket noi
lip	moi
liquid	chat long; long, em ai, du duong, khong vung
list	danh sach; ghi vao danh sach
literature	van chuong, van hoc
litre	lit
little	nho, be, chut it; khong nhieu; mot chut
live	song, hoat dong
lively	song, sinh dong
living	song, dang song
load	ganh nang, vat nang; chat, cho
loan	su vay muon
local	dia phuong, bo phan, cuc bo
locally	co tinh chat dia phuong, cuc bo
locate	xac dinh vi tri, dinh vi
located	dinh vi
